id,question,correct_answer,option1,option2,option3,option4,category,points
391,The Quran mentions several names for the Kabah.Name any one of them. 1. Al-Bayt At-Atiq(the Ancient House 2. Al-Bayt  al-Haram( the Sacred House) 3. Al-Bayt al-Muharram(the Sacred House),"1,2, and 3",1 only,2 only,"1,2, and 3",2 and 3 only.,Hajj,10
392,"What is the significance of ihram(the pilgrim's dress)? Name any one. 1. Wearing ihram is a sign of the special way of pilgrims live while they are on Hajj. 2. in ihram,men and women of all countries, all races  and all statiions in life look alike. 3. whether a person is rich or poor, black or white is not important. 4. What matters is the sincerity of his striving for goodness and his faith in Allah.",All of the above,1 and 4 only,2 and 3 only,"1, 2, and 4 only.",All of the above,Hajj,10
393,What is Haram?,The sacred precincts of the cities of Makkah and Madinah.,The sacred precincts of the cities of Taif and Cairo.,The sacred precincts of the cities of Taif and Damascus.,The sacred precincts of the cities of Makkah and Qatar.,The sacred precincts of the cities of Makkah and Madinah.,Hajj,10
394,"The Prophet Ibrahim prayed ""My lord, make this land secure and provide its people with fruits such of them as believe in Allah and the last Day "". Which land did he refers to here?",The Sacred lands of Makkah.,The Sacred lands of Palestine.,The Sacred lands of Makkah.,The Sacred lands of Aleppo.,The Sacred lands of Tunisia.,Hajj,10
395,"Riding on the camel, the Prophet reached the Jamarat, the three pillars at Mina. He cast seven pebbles at each one of them. What did he say while throwing the pebbles?",Allahu Akbar (God is Great).,Subhanallah,La illaha illa Allah.,Allahu Akbar (God is Great).,Bismillah.,Hajj,10
396,What is Hatim?,The semi-circular wall near the Kabah. ,The semi-circular wall near the Kabah. ,The semi-circular wall near the ZamZam well. ,Name of one of the khalifa after Prophet Muhammad ,One of the idols kept in kabah.,Hajj,10
397,Allah ordered the Prophet Ibrahim to build the Kabah at Makkah. Who joined him in laying its foundation?,"His son, the Prophet Ismail.",His brother Is'haq.,His mother Asiyah.,His daughter Maryam.,"His son, the Prophet Ismail.",Hajj,10
398,"What message does one receive from Kabah? 1. to worship our Lord, 2. to revolve around Him, 3. to be close to Him, 4. to ask His blessing and 5. to put our entire trust in him.","1, 2, 3, 4, and 5.",1 and 5 only.,"1, 2, 3, 4, and 5.","2, 3, and 5 only.",2 and 5 only.,Hajj,10
399,What is Jalbal Rahmoh?,"The mountain of mercy. The mountain of Arafat on which the Prophet Muhammad (S.A.W)  preached his famuous sermon, known as the Farewell Sermon.","The mountain of mercy. The mountain of Muzdalifah on which the Prophet Muhammad (S.A.W)  preached his famuous sermon, known as the Farewell Sermon.","The mountain of mercy. The mountain of Badr on which the Prophet Muhammad (S.A.W)  preached his famuous sermon, known as the Farewell Sermon.","The mountain of mercy. The mountain of Arafat on which the Prophet Muhammad (S.A.W)  preached his famuous sermon, known as the Farewell Sermon.","The mountain of mercy. The mountain of Uhud on which the Prophet Muhammad (S.A.W)  preached his famuous sermon, known as the Farewell Sermon.",Hajj,10
400,"While building the Kabah, the Prophet Ibrahim and Ismail prayed: ""Our Lord, accept this from us! You are the All-hearing, the All- Seeing…"" They also prayed for a prophet to be born in their family, who would teach wisdom to the people and purify their faith. Nme the prophet who was born in response to their prayers.","The Prophet Muhammad, who was born to their descendants.","The Prophet Muhammad, who was born to their descendants.",The Prophet Musa(A.S),The Prophet Isa(A.S),The Prophet Ismail(A.S),Hajj,10
401,"What message does one receive from tawaf, or going round the Kabah?",It means revolving forever around our Lord.,It means ecstacy enjoined on going to Makkah.,It means population of the Muslim world.,It means power of the Muslims,It means revolving forever around our Lord.,Hajj,10
402,What is Jamarat?,"The three stone pillars in Mina where the pilgrims  throw small pebbles, this being one of the rites of Hajj.",The three stone pillars in Mina where the pilgrims  go to make sujud.,"The three stone pillars in Mina where the pilgrims  throw small pebbles, this being one of the rites of Hajj.",The three stone pillars in Muzdalifah where the pilgrims  throw small pebbles at one another as one of the rites of Hajj.,None of the above,Hajj,10
403,"In the Quran  Allah ordered the Prophet Ibrahim: ""Call all people to make the pilgrimage…"" Do you remember the next part of this ayah or verse?", ''… They shall come to you on foot and on the backs of swift camels; they shall come from every deep ravine'', ''… They shall never come to you and every camels will run away.," ''… They shall come to you from Makkah and Madinah on the backs of swift camels"".", ''… They shall come to you on foot and on the backs of swift camels; they shall come from every deep ravine'', ''… They shall come to you on ships and on plane''.,Hajj,10
404,What message does one receive from sa'y or walking briskly between safa and Marwa hills?,"This recalls the great struggle of the Prophet Ibrahim's wife, Hajar, and her total trust in Allah throughout.","This recalls the great struggle of the Prophet Ibrahim's wife, Hajar, and her total trust in Allah throughout.","This recalls the great struggle of the Prophet Ibrahim's wife, Kaothar, and her total trust in Allah throughout.","This recalls the great struggle of the Prophet Isa's wife, Hajar, and her total trust in Allah throughout.","This recalls the great struggle of the Prophet Ismail's wife, Hajar, and her total trust in Allah throughout.",Hajj,10
405,"At the top of the two-hundred-feet-high mount of Mercy in Arafat, seated on a camel, the Prophet Muhammad gave his last sermon in 632 AD. Give any one of the main pionts the Prophet spoke about in the sermon. 1. conveying the message of the Quran to entire humanity. 2. all believers are brothers 3. You must live in peace with one another. Everyone must respect the rights of his neigbours. 5. the practice usury is banned. 6. You are to look after families with all your heart. 7. I am leaving behind two things-the Quran and the example of my life: follow them 8. Worship Allah, be steadfast in prayer, fast during Ramadan, and give alms to less fortunate.",All of the above,"1, 3, 5, and 7 only.","2, 4, 6 and 8 only.",None of the above,All of the above,Hajj,10
406,What is the colour of the stone from which the Kabah is made?,Grey stone (taken from the surrounding hills of Makkah),Black stone.,Grey stone (taken from the surrounding hills of Makkah),Green stone.,Reddish brown stone.,Hajj,10
407,"What message does one receive from Talbiya, or the often repeated labbayk prayer?","This is a forestate of the Day of Judgement.(when ""the trumpet will be blown and behold, they will rise up from their graves and hasten to their Lord'')",It conveys no message.,It tells the beauty of gathering.,"This is a forestate of the Day of Judgement.(when ""the trumpet will be blown and behold, they will rise up from their graves and hasten to their Lord'')",All of the above,Hajj,10
408,What is Masa?,The walkway between Safa and Marwa,The walkway between Safa and Marwa,The walkway between Safa and Taif,The walkway between Makkah and Madinah.,The walkway between Sana'i and Aleppo.,Hajj,10
409,What is the height of the Kabah?,About 50 ft.,About 45 feets.,About 400 feets.,About 320 feets.,About 50 ft.,Hajj,10
410,What message does one receive from Zamzam?,"The trusting believers will be duly rewarded by Allah, perhaps by a miracle (it signals Allah's immense power and love for His creatures)",The trusting believers will be punished by Allah to test their faith.,"The trusting believers will be duly rewarded by Allah, perhaps by a miracle (it signals Allah's immense power and love for His creatures)",The trusting believers can go ahead and disobey Allah.,The trusting believers will be made to face hardship by Allah.,Hajj,10
411,What is mataf?,The open area around the Kabah where pilgrims perform tawaf.,The enclosed area around the maqam of Prophet Ibrahim (A.S.) where pilgrims venerate Ibrahim (A.S.).,The open area around the Masjid Nabawi where pilgrims sleep overnight.,The open area around the Kabah where pilgrims perform tawaf.,The open area around the Kabah where pilgrims throw stone at Satan.,Hajj,10
412,What are the length and width of the walls of the Kabah?,The walls of the Kabah are about 40 feet in length and about 35 feet in width.,The walls of the Kabah are about 40 feet in length and about 35 feet in width.,The walls of the Kabah are about 20 feet in length and about 15 feet in width.,The walls of the Kabah are about 60 feet in length and about 55 feet in width.,The walls of the Kabah are about 48 feet in length and about 30 feet in width.,Hajj,10
413,"What does one receive from rami, or throwing pebbles at Satan's pillars at Mina?","It shows how believers must avoid temptation. Whenever their inner ''Satan'' tempts them to err, they will mentally ''throw pebbles'' at him to drive him away",It shows how Muslims must hate every non Muslim.,It shows how religions of other than Islam are not tolerated by Islam.,It shows how Muslims must seek support from Satan then later stone Satan.,"It shows how believers must avoid temptation. Whenever their inner ''Satan'' tempts them to err, they will mentally ''throw pebbles'' at him to drive him away",Hajj,10
414,What is Maylayn Akhdaryn?,The area marked with green pillars where pilgrims move at a jogging pace while performing sa'y or walking briskly between Safa and Marwa hills.,The area marked with Blue and green pillars where pilgrims move at a jogging pace while performing sa'y or walking briskly between Safa and Marwa hills.,The area marked with green pillars where pilgrims move at a jogging pace while performing sa'y or walking briskly between Safa and Marwa hills.,The area marked with red pillars where pilgrims move at a jogging pace while performing tawaf.,The area marked with green pillars where pilgrims move at a jogging pace while performing tawaf around the pillar.,Hajj,10
415,On which side of the the Kabah is its door located?,The door of the Kabah is on the North side ,The door of the Kabah is on the South side ,The door of the Kabah is on the East side ,The door of the Kabah is on the North side ,The door of the Kabah is on the West side ,Hajj,10
416,What message does one receive from Muzdalifah? ,"It reminds them of the homeless and the needy, and prompts them to assist others.","It reminds them of the homeless and the needy, and prompts them to assist others.","It reminds them of the homeless and the needy, and prompts them to hardworking so they won't be like them.","It reminds them of the rich and the wealthy, and prompts them to be like them.",None of the above,Hajj,10
417,What is Mina?,"A small town about 3miles/5 kilometers away from Makkah where,  Hujaj, the pilgrims stay fulfill the rites of throwing pebbles at jamarat and the sacrifice of animals are carried out here.",A small town in Madinah.,A very big city in Syria.,A small town know for a lto of scholars.,"A small town about 3miles/5 kilometers away from Makkah where,  Hujaj, the pilgrims stay fulfill the rites of throwing pebbles at jamarat and the sacrifice of animals are carried out here.",Hajj,10
418,At what height is the door of the Kabah set above ground level?,Seven feet.,Ten feet.,Seven feet.,Five feet,Six Feet,Hajj,10
419,Describe the route of Hajj. 1. Makkah to Mina. 2. Mina to Arafat. 3. Arafat to Muzdalifah. 4. Muzdalifah to Mina. 5. Mina to Makkah.,"1, 2, 3, 4, and 5.","2, 1, 3, 4, and 5.","3, 4, 2, 1, and 5.","1, 2, 3, 4, and 5.","2, 3, 4, 5, and 1.",Hajj,10
420,What is Miqat?, Certain points where pilgrims about to start their Hajj and umrah must put on ihram., Certain points where pilgrims about to start their Hajj and umrah must put on ihram.," Certain points where pilgrims about to start their Hajj and umrah can, as a matter of choice, put on ihram.", Some points where pilgrims about to start their Hajj and umrah put on any clothes that cover awrah.,Some points where pilgrims about to start their Hajj and umrah burn their ihram as a sacrifice.,Hajj,10
421,The door of the Kabah is usually covered with a curtain. What is the name of the curtain?,Burqa( the veil). ,Kaftan,Abaya(flowing garment),Jilbab (The cloak),Burqa( the veil). ,Hajj,10
422,What is Wadi Muhassar?," A place near Mina where in the year when the Prophet Muhammad was born, the Army of the Elephant was punished by divine intervention."," A place near Madinah where in the year when the Prophet Muhammad was born, the Army of the Elephant was punished by divine intervention."," A place near Mina where in the year when the Prophet Muhammad was born, the Army of the Elephant was punished by divine intervention."," A place near Taif where in the year when the Prophet Muhammad was born, the Army of the Elephant was punished by divine intervention.",None of the above,Hajj,10
423,What is al-Mutazam?,The wall of Kabah between its door and the Black Stone.,The wall of Kabah between its door and the majid Nur.,The wall of Kabah between its floor and the Door.,The wall of Kabah between its door and the Black Stone.,The wall of Kabah between its floor and the Black Stone.,Hajj,10
